date,size_db,cpu,mem,clientes_ativos,clientes_novos,clientes_excluidos,media_reports_clientes,media_reports_apps,frequencia de calculo
25/06/2023,15.706,24.6,21.1,1398,3,4,2.54,5.19,15
26/06/2023,15.999,24.05,22.82,1402,3,2,2.57,4.31,15
27/06/2023,15.888,24.35,22.49,1399,4,1,3.25,3.89,90
28/06/2023,15.763,25.57,19.13,1407,2,0,0.87,6.52,1
29/06/2023,15.599,25.18,20.09,1411,7,0,1.54,06.03,1
30/06/2023,15.668,25.93,21.74,1415,3,0,2.91,6.0,30
01/07/2023,15.67,25.84,19.51,1422,1,1,1.1,5.78,1
02/07/2023,15.616,23.49,21.72,1421,2,2,2.9,3.77,90
03/07/2023,15.75,24.42,20.35,1418,5,3,02.07,4.6,1
04/07/2023,15.79,25.16,21.0,1422,3,2,02.09,4.66,90
05/07/2023,15.483,23.28,20.54,1421,2,0,1.36,3.29,1
06/07/2023,16.071,24.74,20.57,1420,8,1,1.77,4.44,30
07/07/2023,15.838,24.74,22.69,1417,3,3,2.87,4.45,1
08/07/2023,15.716,24.8,20.38,1424,5,0,1.98,5.13,15
09/07/2023,15.825,28.51,19.93,1425,3,0,1.78,7.53,30
10/07/2023,15.98,23.81,21.52,1431,2,3,2.2,4.98,15
11/07/2023,15.513,25.55,21.46,1434,1,0,1.9,5.13,30
12/07/2023,15.798,25.07,21.25,1440,1,0,2.17,4.75,30
13/07/2023,15.595,25.61,20.55,1445,1,1,1.58,5.74,1
14/07/2023,16.376,24.2,21.9,1453,5,3,1.96,3.93,90
15/07/2023,15.886,26.75,20.44,1456,10,1,1.68,6.9,90
16/07/2023,15.636,25.2,19.36,1461,1,1,1.1,4.88,15
17/07/2023,16.604,24.96,21.93,1465,4,2,2.24,4.6,1
18/07/2023,15.791,25.47,20.28,1473,2,1,1.38,5.97,30
19/07/2023,15.869,24.48,20.1,1471,1,1,1.92,4.11,1
20/07/2023,15.897,26.45,21.78,1468,2,2,2.46,5.72,90
21/07/2023,15.769,25.3,19.75,1471,4,2,1.25,6.41,15
22/07/2023,16.002,25.94,21.06,1474,5,1,2.3,4.76,1
23/07/2023,15.524,26.23,20.47,1478,6,4,1.85,07.05,30
24/07/2023,16.197,25.29,19.8,1479,4,1,1.52,5.64,1
25/07/2023,15.768,24.89,21.63,1478,3,0,03.01,5.66,90
26/07/2023,15.925,26.32,20.99,1486,0,1,2.0,6.37,30
27/07/2023,16.173,26.1,21.12,1490,1,0,1.72,6.63,30
28/07/2023,15.996,24.68,20.24,1492,0,1,1.61,5.26,30
29/07/2023,16.019,25.46,21.19,1499,3,0,2.44,5.8,90
30/07/2023,15.863,26.38,20.06,1498,1,2,1.69,6.4,1
31/07/2023,16.5,24.27,22.12,1495,2,2,2.38,3.84,1
01/08/2023,16.201,24.02,21.94,1494,5,2,2.0,3.27,90
02/08/2023,15.893,25.48,22.16,1495,1,1,2.56,4.94,90
03/08/2023,16.161,23.86,20.96,1494,1,1,1.48,3.25,1
04/08/2023,15.909,24.5,19.75,1491,3,0,1.55,4.69,1
05/08/2023,16.5,24.7,21.03,1492,7,1,1.86,5.31,90
06/08/2023,16.21,23.92,21.48,1498,4,2,1.9,4.72,15
07/08/2023,15.991,25.36,20.03,1501,0,2,1.82,4.86,1
08/08/2023,16.341,24.63,22.84,1504,1,2,3.32,4.0,1
09/08/2023,16.161,25.58,23.11,1511,5,2,03.03,5.79,90
10/08/2023,15.975,23.2,21.34,1516,3,1,2.15,3.94,1
11/08/2023,16.324,22.58,21.01,1522,6,2,2.21,2.9,15
12/08/2023,16.335,25.09,20.19,1528,4,4,1.88,4.79,1
13/08/2023,16.508,26.32,21.16,1536,1,1,1.48,5.92,15
14/08/2023,16.309,25.79,20.01,1545,1,0,1.91,05.08,1
15/08/2023,16.334,23.82,22.08,1544,4,3,2.39,3.84,15
16/08/2023,16.36,25.2,21.91,1547,0,2,2.65,5.1,30
17/08/2023,16.664,26.41,22.64,1544,1,2,2.5,5.44,30
18/08/2023,16.299,24.21,19.51,1544,4,1,1.25,05.09,1
19/08/2023,16.472,25.19,22.35,1553,2,1,1.86,4.74,90
20/08/2023,16.518,25.64,20.39,1553,8,0,1.27,5.49,1
21/08/2023,16.481,23.92,22.43,1554,1,2,2.58,3.26,30
